"region","produktionssätt","bränsletyp","år","Elproduktion och bränsleanvändning (MWh)"
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion","2005",12064884
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion","2006",12760970
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion","2007",13531303
"00 Riket","kraftvärmeverk + industriellt mottryck","elproduktion","2008",13831977
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2005",..
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2006",..
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2007",1280448
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2008",..
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2005",2310535
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2006",2996482
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2007",2323507
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2008",2733832
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2005",..
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2006",949374
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2007",1391573
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2008",1082610
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2005",2887038
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2006",2728526
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2007",3175003
"00 Riket","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2008",4107044
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2005",5680971
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2006",6096842
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2007",6507456
"00 Riket","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2008",7096370
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2005",0
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2006",0
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2007",0
"00 Riket","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2008",0
"00 Riket","kraftvärmeverk + industriellt mottryck","övriga","2005",3653072
"00 Riket","kraftvärmeverk + industriellt mottryck","övriga","2006",2915732
"00 Riket","kraftvärmeverk + industriellt mottryck","övriga","2007",2235155
"00 Riket","kraftvärmeverk + industriellt mottryck","övriga","2008",3672412
"00 Riket","kraftvärmeverk + industriellt mottryck","totalt","2005",17035942
"00 Riket","kraftvärmeverk + industriellt mottryck","totalt","2006",..
"00 Riket","kraftvärmeverk + industriellt mottryck","totalt","2007",16913143
"00 Riket","kraftvärmeverk + industriellt mottryck","totalt","2008",..
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2005",73245120
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2006",67774975
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2007",67522769
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2008",64599618
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2005",..
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2006",771890
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2007",357760
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2008",389410
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2005",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2006",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2007",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2008",0
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2005",215377465
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2006",189751018
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2007",183881008
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2008",186972681
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2005",..
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2006",190522908
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2007",184238769
"00 Riket","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2008",187362090
"00 Riket","vattenkraft","elproduktion","2005",72534874
"00 Riket","vattenkraft","elproduktion","2006",61684839
"00 Riket","vattenkraft","elproduktion","2007",66047667
"00 Riket","vattenkraft","elproduktion","2008",64553258
"00 Riket","vattenkraft","flytande (icke förnybara)","2005",0
"00 Riket","vattenkraft","flytande (icke förnybara)","2006",0
"00 Riket","vattenkraft","flytande (icke förnybara)","2007",0
"00 Riket","vattenkraft","flytande (icke förnybara)","2008",0
"00 Riket","vattenkraft","fast (icke förnybara)","2005",0
"00 Riket","vattenkraft","fast (icke förnybara)","2006",0
"00 Riket","vattenkraft","fast (icke förnybara)","2007",0
"00 Riket","vattenkraft","fast (icke förnybara)","2008",0
"00 Riket","vattenkraft","gas (icke förnybara)","2005",0
"00 Riket","vattenkraft","gas (icke förnybara)","2006",0
"00 Riket","vattenkraft","gas (icke förnybara)","2007",0
"00 Riket","vattenkraft","gas (icke förnybara)","2008",0
"00 Riket","vattenkraft","flytande (förnybara)","2005",0
"00 Riket","vattenkraft","flytande (förnybara)","2006",0
"00 Riket","vattenkraft","flytande (förnybara)","2007",0
"00 Riket","vattenkraft","flytande (förnybara)","2008",0
"00 Riket","vattenkraft","fast (förnybara)","2005",0
"00 Riket","vattenkraft","fast (förnybara)","2006",0
"00 Riket","vattenkraft","fast (förnybara)","2007",0
"00 Riket","vattenkraft","fast (förnybara)","2008",0
"00 Riket","vattenkraft","gas (förnybara)","2005",0
"00 Riket","vattenkraft","gas (förnybara)","2006",0
"00 Riket","vattenkraft","gas (förnybara)","2007",0
"00 Riket","vattenkraft","gas (förnybara)","2008",0
"00 Riket","vattenkraft","övriga","2005",..
"00 Riket","vattenkraft","övriga","2006",..
"00 Riket","vattenkraft","övriga","2007",..
"00 Riket","vattenkraft","övriga","2008",..
"00 Riket","vattenkraft","totalt","2005",0
"00 Riket","vattenkraft","totalt","2006",0
"00 Riket","vattenkraft","totalt","2007",0
"00 Riket","vattenkraft","totalt","2008",0
"00 Riket","totalt","elproduktion","2005",157844878
"00 Riket","totalt","elproduktion","2006",142220784
"00 Riket","totalt","elproduktion","2007",147101739
"00 Riket","totalt","elproduktion","2008",142984853
"00 Riket","totalt","flytande (icke förnybara)","2005",..
"00 Riket","totalt","flytande (icke förnybara)","2006",..
"00 Riket","totalt","flytande (icke förnybara)","2007",1638208
"00 Riket","totalt","flytande (icke förnybara)","2008",..
"00 Riket","totalt","fast (icke förnybara)","2005",2310535
"00 Riket","totalt","fast (icke förnybara)","2006",2996482
"00 Riket","totalt","fast (icke förnybara)","2007",2323507
"00 Riket","totalt","fast (icke förnybara)","2008",2733832
"00 Riket","totalt","gas (icke förnybara)","2005",..
"00 Riket","totalt","gas (icke förnybara)","2006",949374
"00 Riket","totalt","gas (icke förnybara)","2007",1391573
"00 Riket","totalt","gas (icke förnybara)","2008",1082610
"00 Riket","totalt","flytande (förnybara)","2005",2887038
"00 Riket","totalt","flytande (förnybara)","2006",2728526
"00 Riket","totalt","flytande (förnybara)","2007",3175003
"00 Riket","totalt","flytande (förnybara)","2008",4107044
"00 Riket","totalt","fast (förnybara)","2005",5680971
"00 Riket","totalt","fast (förnybara)","2006",6096842
"00 Riket","totalt","fast (förnybara)","2007",6507456
"00 Riket","totalt","fast (förnybara)","2008",7096370
"00 Riket","totalt","gas (förnybara)","2005",0
"00 Riket","totalt","gas (förnybara)","2006",0
"00 Riket","totalt","gas (förnybara)","2007",0
"00 Riket","totalt","gas (förnybara)","2008",0
"00 Riket","totalt","övriga","2005",219030537
"00 Riket","totalt","övriga","2006",192666750
"00 Riket","totalt","övriga","2007",186116163
"00 Riket","totalt","övriga","2008",190645093
"00 Riket","totalt","totalt","2005",..
"00 Riket","totalt","totalt","2006",..
"00 Riket","totalt","totalt","2007",201151912
"00 Riket","totalt","totalt","2008",..
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","elproduktion","2005",1518785
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","elproduktion","2006",1633522
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","elproduktion","2007",..
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","elproduktion","2008",..
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2005",98021
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2006",30835
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2007",..
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2008",..
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2005",780150
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2006",815655
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2007",863516
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2008",918666
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2005",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2006",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2007",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2008",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2005",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2006",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2007",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2008",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2005",378984
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2006",630384
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2007",..
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2008",..
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2005",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2006",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2007",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2008",0
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","övriga","2005",516810
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","övriga","2006",453081
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","övriga","2007",289927
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","övriga","2008",722422
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","totalt","2005",1773965
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","totalt","2006",1929955
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","totalt","2007",1874815
"01 Stockholms län","kraftvärmeverk + industriellt mottryck","totalt","2008",2189162
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2005",2039
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2006",3190
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2007",6158
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2008",2430
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2005",70
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2006",1355
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2007",3463
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2008",1612
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2005",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2006",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2007",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2008",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2005",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2006",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2007",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2008",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2005",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2006",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2007",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2008",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2005",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2006",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2007",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2008",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2005",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2006",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2007",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2008",0
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2005",4926
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2006",8546
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2007",13021
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","övriga","2008",5637
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2005",4996
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2006",9901
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2007",16483
"01 Stockholms län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","totalt","2008",7249
"01 Stockholms län","vattenkraft","elproduktion","2005",951
"01 Stockholms län","vattenkraft","elproduktion","2006",1266
"01 Stockholms län","vattenkraft","elproduktion","2007",1033
"01 Stockholms län","vattenkraft","elproduktion","2008",1327
"01 Stockholms län","vattenkraft","flytande (icke förnybara)","2005",0
"01 Stockholms län","vattenkraft","flytande (icke förnybara)","2006",0
"01 Stockholms län","vattenkraft","flytande (icke förnybara)","2007",0
"01 Stockholms län","vattenkraft","flytande (icke förnybara)","2008",0
"01 Stockholms län","vattenkraft","fast (icke förnybara)","2005",0
"01 Stockholms län","vattenkraft","fast (icke förnybara)","2006",0
"01 Stockholms län","vattenkraft","fast (icke förnybara)","2007",0
"01 Stockholms län","vattenkraft","fast (icke förnybara)","2008",0
"01 Stockholms län","vattenkraft","gas (icke förnybara)","2005",0
"01 Stockholms län","vattenkraft","gas (icke förnybara)","2006",0
"01 Stockholms län","vattenkraft","gas (icke förnybara)","2007",0
"01 Stockholms län","vattenkraft","gas (icke förnybara)","2008",0
"01 Stockholms län","vattenkraft","flytande (förnybara)","2005",0
"01 Stockholms län","vattenkraft","flytande (förnybara)","2006",0
"01 Stockholms län","vattenkraft","flytande (förnybara)","2007",0
"01 Stockholms län","vattenkraft","flytande (förnybara)","2008",0
"01 Stockholms län","vattenkraft","fast (förnybara)","2005",0
"01 Stockholms län","vattenkraft","fast (förnybara)","2006",0
"01 Stockholms län","vattenkraft","fast (förnybara)","2007",0
"01 Stockholms län","vattenkraft","fast (förnybara)","2008",0
"01 Stockholms län","vattenkraft","gas (förnybara)","2005",0
"01 Stockholms län","vattenkraft","gas (förnybara)","2006",0
"01 Stockholms län","vattenkraft","gas (förnybara)","2007",0
"01 Stockholms län","vattenkraft","gas (förnybara)","2008",0
"01 Stockholms län","vattenkraft","övriga","2005",..
"01 Stockholms län","vattenkraft","övriga","2006",..
"01 Stockholms län","vattenkraft","övriga","2007",..
"01 Stockholms län","vattenkraft","övriga","2008",..
"01 Stockholms län","vattenkraft","totalt","2005",0
"01 Stockholms län","vattenkraft","totalt","2006",0
"01 Stockholms län","vattenkraft","totalt","2007",0
"01 Stockholms län","vattenkraft","totalt","2008",0
"01 Stockholms län","totalt","elproduktion","2005",1521775
"01 Stockholms län","totalt","elproduktion","2006",1637978
"01 Stockholms län","totalt","elproduktion","2007",..
"01 Stockholms län","totalt","elproduktion","2008",..
"01 Stockholms län","totalt","flytande (icke förnybara)","2005",98091
"01 Stockholms län","totalt","flytande (icke förnybara)","2006",32190
"01 Stockholms län","totalt","flytande (icke förnybara)","2007",..
"01 Stockholms län","totalt","flytande (icke förnybara)","2008",..
"01 Stockholms län","totalt","fast (icke förnybara)","2005",780150
"01 Stockholms län","totalt","fast (icke förnybara)","2006",815655
"01 Stockholms län","totalt","fast (icke förnybara)","2007",863516
"01 Stockholms län","totalt","fast (icke förnybara)","2008",918666
"01 Stockholms län","totalt","gas (icke förnybara)","2005",0
"01 Stockholms län","totalt","gas (icke förnybara)","2006",0
"01 Stockholms län","totalt","gas (icke förnybara)","2007",0
"01 Stockholms län","totalt","gas (icke förnybara)","2008",0
"01 Stockholms län","totalt","flytande (förnybara)","2005",0
"01 Stockholms län","totalt","flytande (förnybara)","2006",0
"01 Stockholms län","totalt","flytande (förnybara)","2007",0
"01 Stockholms län","totalt","flytande (förnybara)","2008",0
"01 Stockholms län","totalt","fast (förnybara)","2005",378984
"01 Stockholms län","totalt","fast (förnybara)","2006",630384
"01 Stockholms län","totalt","fast (förnybara)","2007",..
"01 Stockholms län","totalt","fast (förnybara)","2008",..
"01 Stockholms län","totalt","gas (förnybara)","2005",0
"01 Stockholms län","totalt","gas (förnybara)","2006",0
"01 Stockholms län","totalt","gas (förnybara)","2007",0
"01 Stockholms län","totalt","gas (förnybara)","2008",0
"01 Stockholms län","totalt","övriga","2005",521736
"01 Stockholms län","totalt","övriga","2006",461627
"01 Stockholms län","totalt","övriga","2007",302948
"01 Stockholms län","totalt","övriga","2008",728059
"01 Stockholms län","totalt","totalt","2005",1778961
"01 Stockholms län","totalt","totalt","2006",1939856
"01 Stockholms län","totalt","totalt","2007",1891298
"01 Stockholms län","totalt","totalt","2008",2196411
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","elproduktion","2005",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","elproduktion","2006",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","elproduktion","2007",465819
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","elproduktion","2008",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2005",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2006",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2007",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (icke förnybara)","2008",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2005",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2006",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2007",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (icke förnybara)","2008",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2005",0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2006",0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2007",0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (icke förnybara)","2008",0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2005",247289
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2006",315522
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2007",358344
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","flytande (förnybara)","2008",352319
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2005",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2006",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2007",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","fast (förnybara)","2008",..
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2005",0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2006",0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2007",0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","gas (förnybara)","2008",0
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","övriga","2005",1011
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","övriga","2006",384
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","övriga","2007",4892
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","övriga","2008",949
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","totalt","2005",640785
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","totalt","2006",659765
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","totalt","2007",603981
"03 Uppsala län","kraftvärmeverk + industriellt mottryck","totalt","2008",744998
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2005",..
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2006",..
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2007",..
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","elproduktion","2008",..
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2005",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2006",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2007",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (icke förnybara)","2008",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2005",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2006",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2007",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (icke förnybara)","2008",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2005",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2006",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2007",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (icke förnybara)","2008",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2005",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2006",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2007",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","flytande (förnybara)","2008",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2005",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2006",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2007",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","fast (förnybara)","2008",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2005",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2006",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2007",0
"03 Uppsala län","övrig värmekraft (kärnkraft, kondenskraft o.dyl.)","gas (förnybara)","2008",0
